codigo_huerfano,fuentes,filas_afectadas,monto_costos_cop,canonico_sugerido,confianza,criterio,decision_final,decidido_por,fecha_decision
Amortizacion de costos,GAP_DATA_04_COSTS,978,49616688.0,,,"sin candidato — ¿crear proyecto, bolsa contable o error?",,,
Infraestructura Interna,GAP_DATA_04_COSTS,2,2000000.0,,,"sin candidato — ¿crear proyecto, bolsa contable o error?",,,
br_santillana_a2030_v1_2023,GAP_DATA_04_COSTS,1,500000.0,br_santillana_cursos_v1_2025,baja,similitud parcial — revisar,,,
br_santillana_ed_inclu_v1_2023,GAP_DATA_04_COSTS,32,28108667.0,co_santillana_ed_inclusiva_2025,baja,similitud parcial — revisar,,,
co_csj_rama_judicial_2026,GAP_DATA_04_COSTS + GAP_DATA_07A_CONTRACTS,3,7316182.0,co_csj_rama_judicial_2025,media,similitud 96%,,,
co_csj_rama_judicial_2027,GAP_DATA_04_COSTS + GAP_DATA_07A_CONTRACTS,2,7411500.0,co_csj_rama_judicial_2025,media,similitud 96%,,,
co_csj_rama_judicial_2028,GAP_DATA_07A_CONTRACTS,1,0.0,co_csj_rama_judicial_2025,media,similitud 96%,,,
co_pnud_caja_herramientas_2025,GAP_DATA_04_COSTS,29,24295263.0,,,"sin candidato — ¿crear proyecto, bolsa contable o error?",,,
co_saeees_commerce_2024,GAP_DATA_04_COSTS,4,600847.0,,,"sin candidato — ¿crear proyecto, bolsa contable o error?",,,
col_ih_el4d_v1_2023,GAP_DATA_04_COSTS,1,150666.0,,,"sin candidato — ¿crear proyecto, bolsa contable o error?",,,
col_ih_pagina_web_v1_2022,GAP_DATA_04_COSTS,2,627403.2,,,"sin candidato — ¿crear proyecto, bolsa contable o error?",,,
col_in_for_de_formadores_v1_2023,GAP_DATA_04_COSTS,2,313701.6,,,"sin candidato — ¿crear proyecto, bolsa contable o error?",,,
col_pnud_campana_vbg_osigd_2024,GAP_DATA_04_COSTS,21,9792318.91,co_pnud_campaña_vbg_osigd_2024,alta,coincidencia canónica (tildes/prefijo/espacios),,,
cr_pnud_aduanas y refrigeracion_v1_2021,GAP_DATA_04_COSTS,16,5903056.4,cr_pnud_aduanas_refrigeración_v1_2021,media,similitud 97%,,,
cr_unicef_est-temprana_v1_2023,GAP_DATA_04_COSTS,10,3503603.0,cr_unicef_est_temprana_2026,media,similitud 91%,,,
gt_pnud_infosegura_plataforma_v1_2021,GAP_DATA_04_COSTS,6,802516.0,,,"sin candidato — ¿crear proyecto, bolsa contable o error?",,,
hn_pnud_platform_exp_2024,GAP_DATA_04_COSTS,5,17463217.0,hn_pnud_cultura_legal_2024,baja,similitud parcial — revisar,,,
hn_unicef_cambio_climatico_2025,GAP_DATA_04_COSTS,6,3914061.0,hn_unicef_cambio_clima_v1_2025,media,similitud 89%,,,
mex_pnud_plat_migrantes_v2_2023,GAP_DATA_04_COSTS,3,755393.0,mx_pnud_lta_iguales_2024,baja,similitud parcial — revisar,,,
mx_pnud_agenda2030_v3_2021,GAP_DATA_04_COSTS,3,835754.19,arg_pnud_a2030_v1_2023,baja,similitud parcial — revisar,,,
