Id,ProjectCode,Code,Date,Cost,details_actual,Invoice,moneda_sugerida,criterio,decision_final,decidido_por,fecha_decision,criterio_decision
9c760d95,pa_pnud_pymes_mujeres_v1_2022,TIN-DOM-MNT-MNT,2024-01-02,373856.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
24ac6348,hon_pnud,TIN-DOM-MNT-MNT,2024-01-14,86849.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
a8c7aa68,pa_pnud_pymes_mujeres_v1_2022,TIN-SRV-MNT-MNT,2024-01-14,4185598.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
9c1d96c4,gq_pnud_funcion_publica_v1_2022,TIN-DOM-MNT-MNT,2024-01-31,82810.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
a20aaf01,hon_pnud_red_pública_v1_2022,TIN-DOM-MNT-MNT,2024-02-03,249609.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
75483742,hon_pnud_red_pública_v1_2022,TIN-WSO-CTM-CHB,2024-02-28,634.0,,,USD,monto < 1.000 (patrón USD),USD,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto < 1.000 (patrón USD)
b20f7739,hon_pnud,TIN-SRV-MNT-MNT,2024-02-29,226447.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
da6ef8e9,hon_pnud_red_pública_v1_2022,TIN-SRV-MNT-MNT,2024-02-29,293771.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
b63f818e,hon_pnud_red_pública_v1_2022,TIN-WSO-CTM-EML,2024-02-29,43797.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
c2c269e8,pa_pnud_pymes_mujeres_v1_2022,TIN-SRV-MNT-MNT,2024-02-29,115507.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
2bc97b9c,hon_pnud,TIN-SRV-MNT-MNT,2024-03-31,239160.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
e8e8d7da,hon_pnud_red_pública_v1_2022,TIN-SRV-MNT-MNT,2024-03-31,308840.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
4edc46ed,hon_pnud_red_pública_v1_2022,TIN-WSO-CTM-CHB,2024-03-31,50.0,,,USD,monto < 1.000 (patrón USD),USD,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto < 1.000 (patrón USD)
9a579c3e,hon_pnud_red_pública_v1_2022,TIN-WSO-CTM-EML,2024-03-31,43797.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
07f998bb,pa_pnud_pymes_mujeres_v1_2022,TIN-SRV-MNT-MNT,2024-03-31,163522.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
5cb5cab2,hon_pnud,TIN-SRV-MNT-MNT,2024-04-30,447680.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
ed81c720,hon_pnud_red_pública_v1_2022,TIN-SRV-MNT-MNT,2024-04-30,247600.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
37cb9425,hon_pnud_red_pública_v1_2022,TIN-WSO-CTM-CHB,2024-04-30,150.0,,,USD,monto < 1.000 (patrón USD),USD,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto < 1.000 (patrón USD)
691a32fe,hon_pnud_red_pública_v1_2022,TIN-WSO-CTM-EML,2024-04-30,43797.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
691eed0e,pa_pnud_pymes_mujeres_v1_2022,TIN-SRV-MNT-MNT,2024-04-30,284420.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
512fbdbd,hon_pnud_red_pública_v1_2022,TIN-SRV-MNT-MNT,2024-05-14,246656.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
763c3448,hon_pnud,TIN-SRV-MNT-MNT,2024-05-31,461537.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
fdc758e5,hon_pnud_red_pública_v1_2022,TIN-WSO-CTM-CHB,2024-05-31,150.0,,,USD,monto < 1.000 (patrón USD),USD,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto < 1.000 (patrón USD)
b86c9795,hon_pnud_red_pública_v1_2022,TIN-WSO-CTM-EML,2024-05-31,43797.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
bc5e4e29,pa_pnud_pymes_mujeres_v1_2022,TIN-SRV-MNT-MNT,2024-05-31,294400.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
de9d985c,cr_pnud_aduanas_refrigeración_v1_2021,TIN-SRV-MNT-MNT,2024-06-06,485298.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
e86114f7,hon_pnud,TIN-SRV-MNT-MNT,2024-06-30,437869.0,,,COP,monto ≥ 10.000 (patrón COP),COP,Claude Code (delegación de dirección 2026-08-29),2026-08-29,monto ≥ 10.000 (patrón COP)
