Id,ProjectCode,ExpectedDate,InvoiceDate,CreditedDate,ExpectedCOP,problema,propuesta,decision_final,decidido_por,fecha_decision
4LFRU9,co_pnud_campaña_vbg_osigd_2024,2025-05-01,2025-05-01,2005-05-16,16634001.27,CreditedDate imposible (anterior a 2022),"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
QAYG10,co_pnud_comunica_justicia_2024,2025-05-01,2025-05-01,2005-05-16,25689577.26,CreditedDate imposible (anterior a 2022),"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
WNGLBK,co_pnud_juris_agraria_2024,2025-05-01,2025-05-01,2005-05-16,32433091.26,CreditedDate imposible (anterior a 2022),"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
AFUEC2,co_pnud_opera_justicia_2024,2025-05-01,2025-05-01,2005-05-16,8413336.55,CreditedDate imposible (anterior a 2022),"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
M4T0U1,co_pnud_sicofa_cali_2024,2025-05-01,2025-05-01,2005-05-16,10179494.99,CreditedDate imposible (anterior a 2022),"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
X9BJWM,co_pnud_video_paz_2024,2025-05-01,2025-05-01,2005-05-16,3106498.64,CreditedDate imposible (anterior a 2022),"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
L1K4WN,arg_pnud_a2030_v1_2023,2024-04-29,2024-04-29,,23400000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
R8UZSG,arg_pnud_a2030_v1_2023,2024-08-20,2024-08-20,,23400000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
Y14PO8,arg_pnud_a2030_v1_2023,2024-12-03,2024-12-03,,31200000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
MLNHBE,cl_unicef_derechos_niñez_v1_2024,2024-06-28,2024-06-28,,3700000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
IFZ8MK,cl_unicef_derechos_niñez_v1_2024,2024-07-18,2024-07-18,,3700000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
ET73FR,cl_unicef_derechos_niñez_v1_2024,2024-09-24,2024-09-24,,5368700.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
D7UIZ3,co_wwf_paeci_v2_2024,2024-10-24,2024-10-24,,6900000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
HCD9V9,co_wwf_paeci_v2_2024,2024-12-03,2024-12-03,,16100000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
NRU97S,col_icanh_repo_digital_2023,2024-08-12,,,5715000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
J75U7G,col_icanh_repo_digital_2023,2024-11-10,,,3960000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
YX3P32,col_santillana_ciclos_f_v1_2023,2023-11-15,,,34034000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
9CFWTX,col_santillana_ciclos_f_v1_2023,2024-02-22,,,25525000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
DZE5VL,col_santillana_ciclos_f_v1_2023,2024-04-22,,,25525000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
SQ2UL1,es_oij_desafios_juventud_v1_2023,2023-06-13,,,14689000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
3MJMTZ,es_oij_desafios_juventud_v1_2023,2024-01-16,,,18389000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
UTYEN4,es_oij_desafios_juventud_v1_2023,2024-04-18,,,1831500.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
5YRZ14,eu_clinica_pueblo_sistema_2024,2024-08-28,,,10585000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
LS37H7,fr_desira_lift_v1_2024,2024-11-20,,,18404900.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
10L3VH,fr_desira_lift_v1_2024,2024-11-20,,,18404900.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
MXHCMD,fr_desira_lift_v1_2024,2024-12-23,,,18404900.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
178dbe,gq_pnud_form_ministros_v1_2025,2025-05-16,2025-05-16,,270223200.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
NKVUP5,gq_pnud_funcion_publica_v1_2022,2022-11-22,2022-11-22,,54000000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
ZIYNKZ,gq_pnud_funcion_publica_v1_2022,2022-11-25,2022-11-25,,72000000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
M2EPUK,gq_pnud_funcion_publica_v1_2022,2023-09-13,2023-09-13,,54000000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
IX8R8R,gq_un_diagramaciones_v1_2023,2024-10-02,2024-10-02,,7020000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
8HU2D6,gq_un_diagramaciones_v1_2023,2024-10-02,2024-10-02,,13552500.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
A6P3GH,gr_wwf_safeguards_v2_2023,2024-09-16,,,1047200.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
T1MH9U,hn_pnud_cultura_legal_2024,2024-08-11,2024-08-11,,21900000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
7GV56A,hn_pnud_cultura_legal_2024,2024-12-03,2024-12-03,,7300000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
QW4T2T,hn_pnud_cultura_legal_2024,2024-12-03,2024-12-03,,7300000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
32VBV3,mx_acnur_sipro_v1_2024,2024-07-11,,,47396700.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
D6X8L2,mx_acnur_sipro_v1_2024,2024-10-12,,,60937149.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
8IVN0N,mx_acnur_sipro_v1_2024,2024-12-10,,,27081600.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
OLH1HC,mx_pnud_lta_2024,2024-10-22,2024-10-22,,3854400.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
XIU3VY,mx_pnud_lta_evento_seguro_2024,2024-11-10,2024-10-24,,2567702.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
374AXL,mx_pnud_lta_fichas_v2_2024,2024-10-22,2024-10-22,,6858350.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
ICTW6Y,mx_pnud_lta_fichas_v2_2024,2024-10-24,2024-10-24,,275575.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
LQIDZY,mx_pnud_lta_flyer_reto_2024,2024-11-10,2024-10-24,,3205685.5,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
T8OYPF,mx_pnud_lta_iguales_2024,2024-11-06,2024-11-06,,1947660.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
2WP3T5,mx_pnud_lta_seguros_2024,2024-10-22,2024-10-22,,1277500.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
BH05CJ,mx_pnud_lta_tarjetas_2024,2024-05-12,2024-05-12,,4876947.5,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
I5NQ0A,mx_pnud_videos_tmx_local_2023,2023-12-04,2023-12-04,,22800000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
HI9O8Y,pa_pnud_comunicacion_v1_2024,2024-06-26,2024-06-26,,40829500.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
R3HI9K,pa_pnud_comunicacion_v1_2024,2024-09-14,2024-09-14,,33170500.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
LF58LV,pa_pnud_comunicacion_v1_2024,2024-11-11,2024-11-11,,48692000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
K4L8J1,pa_pnud_comunicacion_v1_2024,2024-11-14,2024-11-04,,25308000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
SLFHGQ,pa_pnud_doc_democracia_2024,2024-12-10,2024-11-26,,7800000.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
CB3NFV,pa_pnud_protocolo_v1_2024,2024-06-26,2024-06-26,,40829500.0,Credited sin CreditedDate,"usar fecha del extracto bancario; si no existe, InvoiceDate como aproximación marcada",,,
