ProjectCode,Status,ContractAmount,Currency,ExchangeRate,CostingAmount,problemas,propuesta,decision_final,decidido_por,fecha_decision,criterio_decision
br_santillana_cursos_v1_2025,Paused,9200.0,,0,0.0,moneda nula · TRM = 0,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM),Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
cl_unwomen_indigform_2025,Completed,31576680.0,CLP,4,116094294.0,Costing difiere -8% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3.68,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
co_pnud_adenda_2025,Completed,87100000.0,COP,1,59100000.0,Costing difiere -32% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 0.68,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
co_pnud_opera_justicia_2024,Completed,26200000.0,COP,1,23663472.0,Costing difiere -10% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 0.90,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
co_pnud_sdis_cursos_2026,Active,160000000.0,COP,1,190145470.0,Costing difiere +19% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 1.19,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
co_wwf_paeci_v2_2024,Completed,23000000.0,COP,1,20094932.0,Costing difiere -13% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 0.87,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
col_icanh_repo_digital_2023,Completed,9675000.0,COP,1,6061899.0,Costing difiere -37% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 0.63,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
col_santillana_ciclos_f_v1_2023,Completed,85084000.0,COP,1,71587853.0,Costing difiere -16% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 0.84,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
cr_pnud_aduanas_refrigeración_v1_2021,Active,1.0,,1,1.0,moneda nula,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 1.00,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
cr_unfpa_materno_adaptacion_2026,Active,15090.0,USD,3700,82808680.0,Costing difiere +48% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 5487.65,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
cr_unicef_lidera_clima_2026,Active,14665.0,USD,3600,51412418.0,Costing difiere -3% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3505.79,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
cr_unicef_sinirube_2026,Active,2010.0,USD,3600,7142859.0,Costing difiere -1% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3553.66,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
ec_pnud_spotlight_v1_2024,Completed,22500.0,USD,4000,77351429.0,Costing difiere -14% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3437.84,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
es_oij_desafios_juventud_v1_2023,Completed,9500.0,USD,3700,63077778.0,Costing difiere +79% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 6639.77,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
es_santillana_ciclos_f_v2_2025,Completed,17820.0,EUR,4000,64741129.0,Costing difiere -9% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3633.06,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
es_santillana_educaia_2026,Active,14685.0,EUR,4100,56465248.0,Costing difiere -6% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3845.10,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
es_santillana_richmond_2026,Active,20900.0,EUR,4000,51699884.0,Costing difiere -38% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 2473.68,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
fji_pnud_discovery_2025,Active,700.0,USD,3900,3276795.0,Costing difiere +20% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 4681.14,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
fji_pnud_feo_platform_2025,Completed,5386.76,USD,3900,15016060.0,Costing difiere -29% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 2787.59,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
fji_pnud_videos_2025,Active,3318.0,USD,3950,12414362.0,Costing difiere -5% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3741.52,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
gq_pnud_form_ministros_v1_2025,Active,87550.0,USD,3900,274719982.0,Costing difiere -20% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3137.86,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
gq_pnud_funcion_publica_v1_2022,Completed,50000.0,USD,3600,395757575.76,Costing difiere +120% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 7915.15,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
gq_un_diagramaciones_v1_2023,Completed,5732.0,USD,3900,33100000.0,Costing difiere +48% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 5774.60,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
gr_wwf_safeguards_v1_2023,Completed,2500.0,USD,3700,9015151.0,Costing difiere -3% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3606.06,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
gr_wwf_safeguards_v2_2023,Completed,261.8,EUR,4000,851667.0,Costing difiere -19% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 3253.12,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
hn_pnud_cne_videos_2025,Completed,12500.0,USD,3900,58174931.0,Costing difiere +19% de Contrato×TRM,confirmar versión vigente (¿adenda?) y registrar TRM pactada,CostingAmount es la cifra vigente (manda sobre Contrato x TRM); TRM_pactada := CostingAmount/ContractAmount = 4653.99,Claude Code (delegación de dirección 2026-08-29),2026-08-29,las diferencias provienen de adendas no versionadas; el negocio opera con CostingAmount
