cuenta,nombre_cuenta,categoria
740573,PROJECT MANAGEMENT,Project Management
740520,IDENTITY AND VISUAL ARTS TEAM,Design and Visual Arts
730561,DESIGN AND VISUAL ARTS,Design and Visual Arts
740571,DESIGN AND VISUAL ARTS,Design and Visual Arts
730563,EXPERT CONSULTANTS,Expert consultants
740555,HOTEL-SEGUROS-VUELOS-VIATICOS,Missions
740525,IMPLEMENTATION E-LEARNING,Technology Advisory
740525,PROJECT MANAGEMENT,Project Management
740520,PROJECT MANAGEMENT,Project Management
730560,PEDAGOGICAL ADVISORY,Pedagogical Advisory
740572,TECHNOLOGY ADVISORY,Technology Advisory
740560,SUSCRIPCIONES Y DERECHOS A PAGINAS WEB,Software Services
730545,PROJECT MANAGEMENT,Project Management
730540,PLANNING & STRATEGY,Expert consultants
730564,SPECIFIC TECHNOLOGY SERVICES,Other
730562,TECHNOLOGY ADVISORY,Technology Advisory
730540,IDENTITY AND VISUAL ARTS TEAM,Design and Visual Arts
740505,PROJECT MANAGEMENT,Project Management
740505,PROJECT MANAGEMENT AND INVESTIGATION,Project Management
740530,PLANNING & STRATEGY,Expert consultants
740550,DISENO ACOMPANAMIENTO SISTEMATZ GRAFICA,Other
731595,IMPUESTOS ASUMIDOS - NO DEDUCIBLES,Other
730545,IDENTITY AND VISUAL ARTS TEAM,Design and Visual Arts
740574,SEGUROS POLIZAS,Other
730540,SISTEMATIZACION DE EXPERIENCIA DEL PROYECTO,Other
735515,PASAJES AEREOS,Missions
740520,DESIGN AND VISUAL ARTS,Design and Visual Arts
740555,PROJECT MANAGEMENT,Project Management
